organization_id,order_id,cart_id,customer_name,total_items,grand_total_amount,charges_amount,processing,is_processed,is_confirmed,is_tax_included,date_ordered,amount_tendered,amount_refunded,created,created_by,updated,updated_by,active
bdc80d6f-aefb-45a6-94fc-0f9563f9a907,6fca26f6-ee19-41e1-b088-fcc6371bd9e4,76392f9c-9147-4592-abc0-a66c55a594d5,Rebecca Daniels,7,,,true,true,false,true,5/6/2016,89.02,31.96,2/9/2016,20b5cc24-56a5-475c-8c85-f9928e28dcbe,,,false
6e17e482-0913-4cd3-98b2-370ebc74e0d2,a6830b94-5c24-46f5-a2f8-1c28e30c7cfb,09739f94-d139-407f-9147-7270b3bae22f,Andrea Burton,18,,,true,true,false,true,9/17/2015,49.14,63.04,10/29/2015,0d020bca-8e8a-4b7d-b1a4-9c488b9405b1,,,true
54fea975-3cbd-4067-88ab-49a826d66f2d,ad1e3981-b420-4c46-b49b-da3849e139ed,493f9379-7332-449c-a376-3b141e370ab3,Marilyn Torres,5,,,true,false,false,true,4/25/2016,94.61,14.73,7/23/2015,5d3f296f-e2fc-4cb0-9313-1b525381fe0b,,,true
3032a8a2-cd20-4e3a-9a86-9b4cfc7211a2,6a33ec7b-7393-469c-8e9c-fa74e9637630,a6415efa-efa9-482e-b0f5-61c0bf449baa,Kathy Cunningham,10,,,true,false,false,false,7/21/2015,19.87,41.63,8/3/2015,c36d18d5-3641-46f7-bcee-ed777c5925de,,,false
549f2ed3-8ab2-4b73-bb89-a2e0004f2eaf,d976a018-23bd-41b4-b655-11a938387083,5b9782bb-3f18-437d-9119-57b3b497dc30,Margaret James,18,,,false,true,false,true,7/16/2015,34.19,1.12,5/3/2016,7fdc2c28-24ea-42a7-9de3-d214521e97ff,,,false
f1557fa8-d372-4d10-941a-7f719b3217ae,899c1612-6379-487b-89e6-b011468b0178,9788a04a-4318-43c3-8f72-141b29603811,Lillian Smith,8,,,true,true,true,true,7/6/2015,68.52,93.86,11/8/2015,b1993cb5-5daf-4c4c-9c80-f507b46f77c6,,,true
8b0783fe-61fc-4934-b5ba-ff08f348dada,fda22214-16ec-4498-b1fd-e61b2c7c066f,253ebbb7-a991-4a24-85dd-68c31d63e58f,Betty Moore,9,,,true,true,true,true,9/20/2015,96.94,1.96,3/3/2016,9ea2ccee-64e6-423e-87b9-8fd9fba59a91,,,true
be24f2c8-10dc-44c2-a71e-c7eb6a17d646,362e7ab4-08d7-4872-8345-017249a757ab,b4011ee0-61e7-4158-9def-6a9553562151,Phillip Fernandez,0,,,true,true,true,true,11/16/2015,75.76,75.23,11/2/2015,18b68b65-832f-45a6-8b16-b09d89829620,,,false
8007805e-3691-419c-9f41-0c3aac99bfca,9dc79958-f3dd-446c-8f9e-d209ff24c13b,d5969546-95f8-4ccb-9e39-7e01163570e8,Benjamin Dixon,11,,,true,true,false,true,7/28/2015,70.74,83.19,7/21/2015,d1dab693-45c0-487f-9bdb-09b5cf83adfa,,,false
c9c50fbd-b55b-4dd6-9119-0912fb374151,46191d3b-d405-4e9b-9846-518d88a7f49b,d8ba4691-f043-4e2d-8aa0-b57103c8ab3c,Eugene Fowler,0,,,false,true,false,false,10/4/2015,53.46,28.46,5/6/2016,f5823bb2-5f5d-41ff-9804-e63f020be642,,,false
9d18e0ba-cab6-49a1-b29e-d3fb3dfdc33f,26510bf1-f2fd-4a91-99c1-15378cfb4757,5dd94d8d-5743-4c89-b6d5-7004abced827,Justin Alexander,15,,,true,true,false,false,1/8/2016,42.89,49.31,6/8/2016,f06567da-c84f-4e34-aeae-048c7fa99acf,,,false
8890e149-d8ef-4831-897b-6a3fc61feb00,2ec18dc0-e4f2-4c6b-9a98-e01478653578,d0627c82-2145-410c-a610-590384a1cc16,Sarah Howell,14,,,true,false,false,true,4/11/2016,81.61,40.21,4/17/2016,a94efcfa-fdde-438e-8676-fc561c01c565,,,false
acf585cc-cb85-4029-a38d-fbb1a7654860,a1a989a1-dec7-4305-83df-b097daa5a16e,497db186-fbc9-436d-b70d-6fcc9763a2fd,Earl Wheeler,12,,,true,true,false,false,11/25/2015,57.85,6.74,5/17/2016,18d5d302-093f-4650-925c-db893e4e4497,,,false
18b1e58a-3ef3-42ff-8eda-8ff9a2c9145a,de9bb0f3-9325-4f5f-b873-8bb456177971,b3445c6e-7b3b-45a0-acb5-81e22117c4ec,Juan Cole,2,,,true,true,true,true,5/4/2016,34.81,8.61,3/3/2016,8400f327-6a34-4dbc-98f9-d7955266d721,,,false
